,name,sido,gugun
982,초읍점,부산광역시,부산진구
983,초지1점,경기도,안산시단원구
984,총신대점,서울특별시,동작구
985,추풍령점,충청북도,영동군
986,춘천교대앞점,강원도,춘천시
987,춘천명동점,강원도,춘천시
988,춘천터미널점,강원도,춘천시
989,춘천팔호광장점,강원도,춘천시
990,충남덕산점,충청남도,예산군
991,충청지사,,
992,충효점,경상북도,경주시
993,칠곡2점,대구광역시,북구
994,칠금점,충청북도,충주시
995,칠보점,경기도,수원시권선구
996,칠성점,대구광역시,북구
997,침산점,대구광역시,북구
998,탄방점,대전광역시,서구
999,탄현점,경기도,고양시일산서구
1000,탕정점,충청남도,아산시
1001,태백점,강원도,태백시
1002,태백주공점,강원도,태백시
1003,태안점,충청남도,태안군
1004,태장점,강원도,원주시
1005,태전동점,경기도,광주시
1006,태전점,대구광역시,북구
1007,"태평1,3동점",경기도,성남시수정구
1008,"태평2,4동점",경기도,성남시수정구
1009,태평2점,대전광역시,중구
1010,태평상가점,인천광역시,계양구
1011,테크노밸리점,충청남도,서산시
1012,테크노점,충청북도,청주시흥덕구
1013,테크노점(대구),대구광역시,달성군
1014,테크노점(아산),충청남도,아산시
1015,토곡점,부산광역시,연제구
1016,통영1점,경상남도,통영시
1017,통영2점,경상남도,통영시
1018,퇴계동점,강원도,춘천시
1019,퇴계원점,경기도,남양주시
1020,퇴계주공점,강원도,춘천시
1021,퇴촌점,경기도,광주시
1022,파동점,대구광역시,수성구
1023,파인힐(공단점),경기도,시흥시
1024,파장점,경기도,수원시장안구
1025,판암2점,대전광역시,동구
1026,팽성점,경기도,평택시
1027,평거점,경상남도,진주시
1028,평내점,경기도,남양주시
1029,평리점,대구광역시,서구
1030,평원점,강원도,원주시
1031,평창점(강원),강원도,평창군
1032,평촌3점,경기도,안양시동안구
1033,평촌5점,경기도,안양시동안구
1034,평택1점,경기도,평택시
1035,평택지산점,경기도,평택시
1036,포남동점,강원도,강릉시
1037,포남로얄점,강원도,강릉시
1038,포도원점,경기도,안양시동안구
1039,포승점,경기도,평택시
1040,포천점,경기도,포천시
1041,포항오천점,경상북도,포항시남구
1042,포항이동점,경상북도,포항시남구
1043,포항장성점,경상북도,포항시북구
1044,포항터미널점,경상북도,포항시남구
1045,표선점,제주특별자치도,서귀포시
1046,풍기점,경상북도,영주시
1047,풍납점,서울특별시,송파구
1048,풍동식사점,경기도,고양시일산동구
1049,풍무2점,경기도,김포시
1050,하남신도시점,경기도,하남시
1051,하당동아점,전라남도,목포시
1052,하당부영점,전라남도,목포시
1053,하대원점,경기도,성남시중원구
1054,하동점,경상남도,하동군
1055,하북점,경기도,평택시
1056,하성점,경기도,김포시
1057,하소동점,충청북도,제천시
1058,하안1점,경기도,광명시
1059,하안5점,경기도,광명시
1060,하안7점,경기도,광명시
1061,하안9점,경기도,광명시
1062,학다리점,강원도,홍천군
1063,학성점,강원도,원주시
1064,학익점,인천광역시,미추홀구
1065,학장점,부산광역시,사상구
1066,학하.한밭대점,대전광역시,유성구
1067,한대역점,경기도,안산시상록구
1068,한림점,제주특별자치도,제주시
1069,한솔새롬점,세종특별자치시,새롬북로
1070,한솔점,경기도,성남시분당구
1071,한신점,인천광역시,서구
1072,한아름점,경기도,부천시원미구
1073,한주점,경기도,의정부시
1074,함덕점,제주특별자치도,제주시
1075,함백점,강원도,정선군
1076,함양점,경상남도,함양군
1077,함창점,경상북도,상주시
1078,함평점,전라남도,함평군
1079,합덕점,충청남도,당진시
1080,합정동점,서울특별시,마포구
1081,합정점,경기도,평택시
1082,합포점,경상남도,창원시마산합포구
1083,해남점,전라남도,해남군
1084,해미점,충청남도,서산시
1085,해방촌점,서울특별시,용산구
1086,해운대점,부산광역시,해운대구
1087,해운대좌동주공2,부산광역시,해운대구
1088,행당동점,서울특별시,성동구
1089,행복점,충청남도,천안시동남구
1090,혁신점,강원도,원주시
1091,현대점(수원),경기도,수원시권선구
1092,호계2동점,경기도,안양시동안구
1093,호계매곡점,울산광역시,북구
1094,호성점,전라북도,전주시덕진구
1095,호원점,경기도,의정부시
1096,홍도점,대전광역시,동구
1097,홍성2점,충청남도,홍성군
1098,홍성주공점,충청남도,홍성군
1099,홍은1점,서울특별시,서대문구
1100,홍은동점,서울특별시,서대문구
1101,홍익대점,서울특별시,마포구
1102,홍익점,경기도,안성시
1103,화개점,경상남도,하동군
1104,화곡1점,서울특별시,강서구
1105,화명점,부산광역시,북구
1106,화봉.연암점,울산광역시,북구
1107,화서점,경기도,수원시장안구
1108,화성남양점,경기도,화성시
1109,화성시청점,경기도,화성시
1110,화순점,전라남도,화순군
1111,화양동점,서울특별시,광진구
1112,화원점,대구광역시,달성군
1113,화정점,광주광역시,서구
1114,환호점,경상북도,포항시북구
1115,황간점,충청북도,영동군
1116,황성점,경상북도,경주시
1117,황제점,대구광역시,서구
1118,회원교방점,경상남도,창원시마산회원구
1119,횡성점,강원도,횡성군
1120,횡성중앙점,강원도,횡성군
1121,효가리점,강원도,동해시
1122,효돈점,제주특별자치도,서귀포시
1123,효성1점,인천광역시,계양구
1124,효성2점,인천광역시,계양구
1125,효성점,인천광역시,남동구
1126,효자점(포항),경상북도,포항시남구
1127,후곡점,경기도,고양시일산서구
1128,후평2동점,강원도,춘천시
1129,후포점,경상북도,울진군
1130,훼미리점,서울특별시,송파구
1131,휴천점,경상북도,영주시
1132,흥업점,강원도,원주시
1133,흰돌점,경기도,고양시일산동구
1134,CNTTEST,00,18
